Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
058.01842,ETARES,2015,Air,CO2 Total d'origine non biomasse uniquement,11100.000,t/an
058.01842,ETARES,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),11100.000,t/an
058.01842,ETARES,2015,Eau (direct),Mercure et ses composés (Hg),1.04,kg/an
058.01843,COFELY,2015,Air,CO2 Total d'origine non biomasse uniquement,11800.000,t/an
058.01843,COFELY,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),11800.000,t/an
058.01852,AUCHAN,2015,Air,Hydroflurocarbures (HFC),397,kg/an
058.02016,CONDIVEX,2015,Air,Hydroflurocarbures (HFC),5260,kg/an
058.02051,Dalkia CHU Charles Nicolle,2015,Air,CO2 Total d'origine non biomasse uniquement,16600.000,t/an
058.02051,Dalkia CHU Charles Nicolle,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),16600.000,t/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Chlore et composés inorganiques (HCl),37700,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Fluor et composés inorganiques (HF),6410,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Hexafluorure de soufre (SF6),54.5,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),1570000,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),769000,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Protoxyde d'azote (N2O),12300,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,Vanadium et ses composés,59.4,kg/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,CO2 Total d'origine non biomasse uniquement,832000.000,t/an
058.02143,EDF UNITE DE PRODUCTION THERMIQUE DU HAVRE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),832000.000,t/an
058.02180,OREADE (ex-ECOSTU'AIR),2015,Air,CO2 Total d'origine non biomasse uniquement,77000.000,t/an
058.02180,OREADE (ex-ECOSTU'AIR),2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),155000.000,t/an
058.02180,OREADE (ex-ECOSTU'AIR),2015,Air,CO2 Total d'origine biomasse uniquement,78200.000,t/an
058.02301,AIR LIQUIDE HYDROGENE,2015,Air,Mercure et ses composés (Hg),17,kg/an
058.02301,AIR LIQUIDE HYDROGENE,2015,Air,Protoxyde d'azote (N2O),10200,kg/an
058.02301,AIR LIQUIDE HYDROGENE,2015,Air,CO2 Total d'origine non biomasse uniquement,233000.000,t/an
058.02301,AIR LIQUIDE HYDROGENE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),233000.000,t/an
058.02304,"LUNOR, Coop Agricole des Producteurs de Pommes de Terre de Luneray",2015,Eau (direct),Demande biologique en oxygène (DBO5),63300,kg/an
058.02304,"LUNOR, Coop Agricole des Producteurs de Pommes de Terre de Luneray",2015,Eau (direct),Demande chimique en oxygène (DCO),236000,kg/an
058.02304,"LUNOR, Coop Agricole des Producteurs de Pommes de Terre de Luneray",2015,Eau (direct),Phosphore total (P),6310,kg/an
058.02360,TRIADIS Services,2015,Air,CO2 Total d'origine non biomasse uniquement,28500.000,t/an
058.02360,TRIADIS Services,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),28500.000,t/an
058.02394,Normandy Coating,2015,Air,Composés organiques volatils non méthaniques (COVNM),216000,kg/an
058.02398,TANK SEREP NORMANDIE 2,2015,Eau (indirect),Hydrocarbures (C total),18000,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2015,Eau (indirect),Azote total (N),89800,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2015,Eau (indirect),Composés organohalogénés (AOX),8170,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2015,Eau (indirect),Demande biologique en oxygène (DBO5),689000,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2015,Eau (indirect),Demande chimique en oxygène (DCO),1320000,kg/an
058.02751,CSDU de Brametot,2015,Air,Méthane (CH4),190000,kg/an
058.02925,REVIMA APU,2015,Air,Hydroflurocarbures (HFC),942,kg/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Air,Composés organiques volatils non méthaniques (COVNM),93800,kg/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),153000,kg/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Air,CO2 Total d'origine non biomasse uniquement,142000.000,t/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),293000.000,t/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Air,CO2 Total d'origine biomasse uniquement,152000.000,t/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Eau (direct),Phosphore total (P),5900,kg/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Sol,Nickel et ses composés (Ni),29.1,kg/an
058.03187,Tereos Benp (ex-BENP Lillebonne),2015,Sol,Zinc et ses composés (Zn),269,kg/an
058.03383,DRESSER-RAND SA - Site LNG,2015,Air,Hydroflurocarbures (HFC),450,kg/an
058.03533,ATHALYS,2015,Eau (indirect),Nickel et ses composés (Ni),24,kg/an
058.03829,Grande Paroisse,2015,Eau (direct),Fluorures (F total),5100,kg/an
058.04078,CIM Chargement de navires,2015,Air,Composés organiques volatils non méthaniques (COVNM),177000,kg/an
058.04127,Bio Cogelyo Normandie,2015,Air,Mercure et ses composés (Hg),12.8,kg/an
058.04127,Bio Cogelyo Normandie,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),106000,kg/an
058.04127,Bio Cogelyo Normandie,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),148000.000,t/an
058.04127,Bio Cogelyo Normandie,2015,Air,CO2 Total d'origine biomasse uniquement,148000.000,t/an
059.00018,ALLRIM SARL,2015,Air,Dichlorométhane (DCM - chlorure de méthylène),1590,kg/an
059.00119,SEVE,2015,Air,Hydrocarbures aromatiques polycycliques (HAP),562,kg/an
059.00119,SEVE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),29000.000,t/an
059.00119,SEVE,2015,Air,CO2 Total d'origine biomasse uniquement,29000.000,t/an
059.00162,ZUBER RIEDER,2015,Eau (direct),Demande biologique en oxygène (DBO5),55200,kg/an
059.00164,TREVEST,2015,Air,Composés organiques volatils non méthaniques (COVNM),44300,kg/an
059.00201,NICOLLIN,2015,Air,Méthane (CH4),216000,kg/an
059.00367,WIENERBERGER,2015,Air,CO2 Total d'origine non biomasse uniquement,24400.000,t/an
059.00367,WIENERBERGER,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),24400.000,t/an
059.00458,VALINEA,2015,Air,CO2 Total d'origine non biomasse uniquement,17000.000,t/an
059.00458,VALINEA,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),39300.000,t/an
059.00458,VALINEA,2015,Air,CO2 Total d'origine biomasse uniquement,22300.000,t/an
059.00530,PREVAL,2015,Air,CO2 Total d'origine non biomasse uniquement,12400.000,t/an
059.00530,PREVAL,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),28400.000,t/an
059.00530,PREVAL,2015,Air,CO2 Total d'origine biomasse uniquement,16000.000,t/an
059.00536,ARMSTRONG BUILDING PRODUCTS,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),228000,kg/an
059.00536,ARMSTRONG BUILDING PRODUCTS,2015,Air,CO2 Total d'origine non biomasse uniquement,29100.000,t/an
059.00536,ARMSTRONG BUILDING PRODUCTS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),29100.000,t/an
059.00605,ZINDEL,2015,Eau (indirect),Nickel et ses composés (Ni),21.8,kg/an
059.00605,ZINDEL,2015,Eau (indirect),Zinc et ses composés (Zn),115,kg/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Air,Composés organiques volatils non méthaniques (COVNM),703000,kg/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Air,Hydrochlorofluorocarbures (HCFC),81,kg/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Air,Hydroflurocarbures (HFC),1210,kg/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Air,CO2 Total d'origine non biomasse uniquement,44500.000,t/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),44500.000,t/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Eau (direct),Fluorures (F total),3850,kg/an
059.00608,Peugeot Citroen Automobiles S.A Sochaux,2015,Eau (direct),Nickel et ses composés (Ni),32,kg/an
059.00641,Centre Technique de Belchamp,2015,Air,Hydrochlorofluorocarbures (HCFC),94.1,kg/an
059.00641,Centre Technique de Belchamp,2015,Air,Hydroflurocarbures (HFC),926,kg/an
059.00821,FROMAGERIE BEL PRODUCTION FRANCE,2015,Eau (indirect),Demande biologique en oxygène (DBO5),105000,kg/an
059.00821,FROMAGERIE BEL PRODUCTION FRANCE,2015,Eau (indirect),Demande chimique en oxygène (DCO),184000,kg/an
059.00825,chaufferie des Mesnils Pasteur,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12400.000,t/an
059.00825,chaufferie des Mesnils Pasteur,2015,Air,CO2 Total d'origine biomasse uniquement,12400.000,t/an
059.00878,FLEXICO division MOREAU Etablissement de Lons,2015,Air,Composés organiques volatils non méthaniques (COVNM),102000,kg/an
059.00881,JURATROM - UIOM,2015,Air,CO2 Total d'origine non biomasse uniquement,13700.000,t/an
059.00881,JURATROM - UIOM,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),31700.000,t/an
059.00881,JURATROM - UIOM,2015,Air,CO2 Total d'origine biomasse uniquement,18000.000,t/an
059.00890,SOCIETE FROMAGERE DE LONS LE SAUNIER,2015,Eau (indirect),Demande biologique en oxygène (DBO5),118000,kg/an
059.00978,Holcim (France) SAS - Usine de Rochefort sur Nenon,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),352000,kg/an
059.00978,Holcim (France) SAS - Usine de Rochefort sur Nenon,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),285000,kg/an
059.00978,Holcim (France) SAS - Usine de Rochefort sur Nenon,2015,Air,CO2 Total d'origine non biomasse uniquement,272000.000,t/an
059.00978,Holcim (France) SAS - Usine de Rochefort sur Nenon,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),298000.000,t/an
059.00978,Holcim (France) SAS - Usine de Rochefort sur Nenon,2015,Air,CO2 Total d'origine biomasse uniquement,25200.000,t/an
059.00985,MONNARD,2015,Air,CO2 Total d'origine non biomasse uniquement,43300.000,t/an
059.00985,MONNARD,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),43300.000,t/an
059.01015,BOURBON AUTOMOTIVE PLASTICS,2015,Air,Composés organiques volatils non méthaniques (COVNM),54600,kg/an
059.01072,GALVANOPLAST,2015,Eau (direct),Nickel et ses composés (Ni),42.8,kg/an
059.01100,FIDAY GESTION,2015,Air,Composés organiques volatils non méthaniques (COVNM),46500,kg/an
059.01114,EUROCOOLER,2015,Air,Composés organiques volatils non méthaniques (COVNM),154000,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,Aldéhyde formique (formaldéhyde),17200,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,Composés organiques volatils non méthaniques (COVNM),42200,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,Monoxyde de carbone (CO),593000,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),164000,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,Poussières totales (TSP),389000,kg/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),101000.000,t/an
059.01115,COMPAGNIE FRANCAISE DU PANNEAU,2015,Air,CO2 Total d'origine biomasse uniquement,101000.000,t/an
059.01127,WALTEFAUGLE,2015,Air,Composés organiques volatils non méthaniques (COVNM),41800,kg/an
059.01183,OMNIUM DE GESTION ET DE FINANCEMENT,2015,Air,Composés organiques volatils non méthaniques (COVNM),30700,kg/an
059.01195,SWEDSPAN FRANCE,2015,Air,Aldéhyde formique (formaldéhyde),1140,kg/an
059.01195,SWEDSPAN FRANCE,2015,Air,Composés organiques volatils non méthaniques (COVNM),52500,kg/an
059.01195,SWEDSPAN FRANCE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),144000,kg/an
059.01214,FAURECIA Sièges d'automobile,2015,Air,Composés organiques volatils non méthaniques (COVNM),128000,kg/an
059.01306,PCA PEUGEOT CITROEN AUTOMOBILES,2015,Air,Hydrochlorofluorocarbures (HCFC),13.7,kg/an
059.01370,AUCHAN BELFORT NORD,2015,Air,Hydroflurocarbures (HFC),261,kg/an
059.01374,GEEP,2015,Air,Cobalt et ses composés (Co),70,kg/an
059.01374,GEEP,2015,Air,Nickel et ses composés (Ni),92,kg/an
059.01990,SERTRID,2015,Air,CO2 Total d'origine non biomasse uniquement,28200.000,t/an
059.01990,SERTRID,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),65500.000,t/an
059.01990,SERTRID,2015,Air,CO2 Total d'origine biomasse uniquement,37400.000,t/an
059.02155,VON ROLL France (Fils de bobinages),2015,Air,Composés organiques volatils non méthaniques (COVNM),39700,kg/an
059.02225,DIEHL Augé Découpage,2015,Air,Tétrachloroéthylène (PER - perchloroéthylène),2310,kg/an
059.02583,FACEL,2015,Air,Sulfure de carbone,147000,kg/an
059.02583,FACEL,2015,Air,Sulfure d'hydrogène (H2S),3280,kg/an
059.02597,SNC BIVAL Usine d'incinération,2015,Air,CO2 Total d'origine non biomasse uniquement,56700.000,t/an
059.02597,SNC BIVAL Usine d'incinération,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),56700.000,t/an
059.02679,FAURECIA BLOC AVANT,2015,Air,Composés organiques volatils non méthaniques (COVNM),32700,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,"1,2-dichloroéthane (DCE - chlorure d'éthylène)",6480,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Ammoniac (NH3),61200,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Chloroforme (trichlorométhane),7760,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Chlorure de vinyle (chloroéthylène - monochlorure de vinyle - CVM)),28500,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Composés organiques volatils non méthaniques (COVNM),82000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Dichlorométhane (DCM - chlorure de méthylène),9420,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,"Epichlorhydrine (1-chloro-2,3-époxypropane)",368,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Hydroflurocarbures (HFC),1990,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Mercure et ses composés (Hg),11.1,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Tétrachloroéthylène (PER - perchloroéthylène),3420,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,Tétrachlorure de carbone (TCM - tétrachlorométhane),2810,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,CO2 Total d'origine non biomasse uniquement,25100.000,t/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),25100.000,t/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",54,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Arsenic et ses composés (As),262,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Azote total (N),52700,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Carbone organique total (COT),438000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Chloroforme (trichlorométhane),139,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Chlorure de vinyle (chloroéthylène - monochlorure de vinyle - CVM)),14,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Chlorures (Cl total),160000.000,t/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Composés organohalogénés (AOX),46600,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Demande biologique en oxygène (DBO5),249000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Demande chimique en oxygène (DCO),547000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Dichlorométhane (DCM - chlorure de méthylène),1070,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Fer et ses composés (Fe),4670,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Fluorures (F total),20700,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Hexachlorobenzène (HCB),2,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Hexachlorobutadiène (HCBD),142,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Manganèse et ses composés (Mn),2440,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Matières en suspension (MES),711000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Mercure et ses composés (Hg),2.7,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Pentachlorobenzène,27,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Sulfates,7490000,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Titane et ses composés (Ti),195,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Trichloroéthylène (TRI),241,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Tétrachloroéthylène (PER - perchloroéthylène),458,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Tétrachlorure de carbone (TCM - tétrachlorométhane),69,kg/an
059.02685,SOLVAY ELECTROLYSE FRANCE,2015,Eau (direct),Hydroxyde d'ammonium (NH4+),52700,kg/an
059.02723,Papeterie du Doubs,2015,Air,CO2 Total d'origine non biomasse uniquement,29400.000,t/an
059.02723,Papeterie du Doubs,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),29400.000,t/an
059.02723,Papeterie du Doubs,2015,Eau (direct),Demande chimique en oxygène (DCO),221000,kg/an
059.02924,SITA Centre Est,2015,Air,Méthane (CH4),148000,kg/an
059.05393,COFELY (Cogénération gaz PSA SOCHAUX),2015,Air,CO2 Total d'origine non biomasse uniquement,22700.000,t/an
059.05393,COFELY (Cogénération gaz PSA SOCHAUX),2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),22700.000,t/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Chlore et composés inorganiques (HCl),14300,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Composés organiques volatils non méthaniques (COVNM),46800,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Hydroflurocarbures (HFC),2810,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),1420000,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),794000,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,Protoxyde d'azote (N2O),17200,kg/an
059.06226,SOLVAY Tavaux SAS,2015,Air,CO2 Total d'origine non biomasse uniquement,447000.000,t/an
059.06226,SOLVAY Tavaux SAS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),447000.000,t/an
060.00274,VALEO MATERIAUX DE FRICTION,2015,Air,Aldéhyde formique (formaldéhyde),3320,kg/an
060.00275,CENTRALE ENERGIE DECHETS DE LIMOGES METROPOLE,2015,Air,CO2 Total d'origine non biomasse uniquement,34300.000,t/an
060.00275,CENTRALE ENERGIE DECHETS DE LIMOGES METROPOLE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),79800.000,t/an
060.00275,CENTRALE ENERGIE DECHETS DE LIMOGES METROPOLE,2015,Air,CO2 Total d'origine biomasse uniquement,45500.000,t/an
060.00305,MADRANGE CHARCUTERIE DE LA VALOINE,2015,Eau (indirect),Demande biologique en oxygène (DBO5),68200,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Air,CO2 Total d'origine non biomasse uniquement,65600.000,t/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),65600.000,t/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Arsenic et ses composés (As),38.8,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Azote total (N),85400,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Cadmium et ses composés (Cd),6.2,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Demande biologique en oxygène (DBO5),234000,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Demande chimique en oxygène (DCO),856000,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Matières en suspension (MES),449000,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Nickel et ses composés (Ni),38.8,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Phosphore total (P),12500,kg/an
060.00314,SMURFIT KAPPA Papeterie de SAILLAT,2015,Eau (direct),Plomb et ses composés (Pb),38.8,kg/an
060.00336,PHOTONIS,2015,Air,Hydrochlorofluorocarbures (HCFC),7.84,kg/an
060.00339,MADRANGE,2015,Eau (indirect),Demande biologique en oxygène (DBO5),81400,kg/an
060.00346,Papeteries Cartonneries Lacaux Frères,2015,Air,CO2 Total d'origine non biomasse uniquement,10800.000,t/an
060.00346,Papeteries Cartonneries Lacaux Frères,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10800.000,t/an
060.00348,ISOROY USSEL,2015,Air,Aldéhyde formique (formaldéhyde),9080,kg/an
060.00348,ISOROY USSEL,2015,Air,Composés organiques volatils non méthaniques (COVNM),54300,kg/an
060.00348,ISOROY USSEL,2015,Air,Méthane (CH4),129000,kg/an
060.00348,ISOROY USSEL,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),46200.000,t/an
060.00348,ISOROY USSEL,2015,Air,CO2 Total d'origine biomasse uniquement,46200.000,t/an
060.00357,Eurocoustic,2015,Air,Ammoniac (NH3),56300,kg/an
060.00357,Eurocoustic,2015,Air,Monoxyde de carbone (CO),627000,kg/an
060.00357,Eurocoustic,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),363000,kg/an
060.00357,Eurocoustic,2015,Air,CO2 Total d'origine non biomasse uniquement,49600.000,t/an
060.00357,Eurocoustic,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),49600.000,t/an
060.00361,BLEDINA Usine de Brive,2015,Eau (indirect),Demande biologique en oxygène (DBO5),298000,kg/an
060.00361,BLEDINA Usine de Brive,2015,Eau (indirect),Demande chimique en oxygène (DCO),440000,kg/an
060.00366,VALADE,2015,Eau (indirect),Demande biologique en oxygène (DBO5),43200,kg/an
060.00374,LIMOVIN SAS,2015,Air,Hydroflurocarbures (HFC),101,kg/an
060.00382,JELD-WEN Ussel,2015,Air,Antimoine et ses composés (Sb),14.2,kg/an
060.00382,JELD-WEN Ussel,2015,Eau (indirect),Aldéhyde formique (formaldéhyde),375,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,Chrome et ses composés (Cr),136,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,Mercure et ses composés (Hg),12,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),700000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,Protoxyde d'azote (N2O),22100,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,Zinc et ses composés (Zn),251,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,CO2 Total d'origine non biomasse uniquement,53400.000,t/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),794000.000,t/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Air,CO2 Total d'origine biomasse uniquement,741000.000,t/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Aluminium et ses composés (Al),23500,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Azote total (N),169000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Chrome et ses composés (Cr),179,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Composés organohalogénés (AOX),55800,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Cuivre et ses composés (Cu),90,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Demande biologique en oxygène (DBO5),486000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Demande chimique en oxygène (DCO),6410000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Fer et ses composés (Fe),7400,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Manganèse et ses composés (Mn),22100,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Matières en suspension (MES),392000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Phosphore total (P),21400,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Phénols (Ctotal),785,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Eau (direct),Zinc et ses composés (Zn),650,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Aluminium et ses composés (Al),106000,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Arsenic et ses composés (As),139,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Cadmium et ses composés (Cd),18,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Chrome et ses composés (Cr),243,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Cuivre et ses composés (Cu),307,kg/an
060.00385,INTERNATIONAL PAPER FRANCE,2015,Sol,Fer et ses composés (Fe),110000,kg/an
